Node ID,MESSAGE,Sender,id,maneuver,annotator,annotation_id,created_at,updated_at,lead_time
926317187857633280,LILLARD ⌚️ #SCtop10 https://t.co/hv0gJsVkBd,SportsCenter,114,NONE,8,5100,2022-09-24T16:06:06.747542Z,2022-09-24T16:06:06.747595Z,2.408
934514312789549056,YOU DUMB FUCK,17sbaucum,113,NONE,8,5099,2022-09-24T16:06:03.296483Z,2022-09-24T16:06:03.296542Z,2.745
940612284858142722,Cavs Legion has arrived. Cleveland at the center of the esports universe? Believe it. It’s always us against the wo… https://t.co/dwG15oCh2D,CavsLegionGC,112,NONE,8,5098,2022-09-24T16:05:59.550471Z,2022-09-24T16:05:59.550496Z,4.297
909875287202054144,@CypherTheGod @XXL ?,17sbaucum,111,NONE,8,5097,2022-09-24T16:05:54.220828Z,2022-09-24T16:05:54.220881Z,3.072
924358760398835712,RT @OhioStateFB: #BeatPSU https://t.co/dgsUvd7ohw,17sbaucum,110,NONE,8,5096,2022-09-24T16:05:50.149778Z,2022-09-24T16:05:50.149837Z,3.155
941037470078177280,RT @Merkstuh: HOW TF am I suppose to stop Nelly from the Longest Yard ?? What buttons do I push !?!? Shit is impossible dawg https://t.co/WcSdfEzBZD,17sbaucum,109,NONE,8,5095,2022-09-24T16:05:45.943792Z,2022-09-24T16:05:45.943842Z,2.968
947779513165008896,RT @WhistleSports: Slight miscalculation was made  https://t.co/Vh8vAnIDVu,17sbaucum,108,NONE,8,5094,2022-09-24T16:05:42.050177Z,2022-09-24T16:05:42.050201Z,4.123
924414914969702400,⛓Fight to the FINISH! Got it done. #GoBucks https://t.co/u7lFKA7qS4,OhioStateFB,107,NONE,8,5093,2022-09-24T16:05:37.095417Z,2022-09-24T16:05:37.095452Z,4.163
920326432794009601,I thought i was tripping when i wasnt getting green releases. Got harder for no reason https://t.co/0Og1E3ymcV,17sbaucum,106,NONE,8,5092,2022-09-24T16:05:32.127521Z,2022-09-24T16:05:32.127544Z,4.011
966008366504976384,Skydiving trails are so hot right now  #FNBRSeason3 https://t.co/RRIYWr1f1B,FortniteGame,105,NONE,8,5091,2022-09-24T16:05:27.140916Z,2022-09-24T16:05:27.140972Z,4.251
976169983171547137,"RT @1776Stonewall: Bad news for Democrats! A school resource officer, meaning a security guard with a gun, stopped a shooting at a high sch…",17sbaucum,104,NONE,8,5090,2022-09-24T16:05:22.006262Z,2022-09-24T16:05:22.006284Z,3.567
929471205790437376,RT @DefPenSports: Mike Weber Jr finds a seam and he is gone! #GoBucks  https://t.co/hNYhnYxJ5e,17sbaucum,103,NONE,8,5089,2022-09-24T16:05:17.506340Z,2022-09-24T16:05:17.506389Z,3.564
972192862816358400,"RT @RSherman_25: “Cause ppl talking to me like I’m slowin’ down.  Opinions over statistics, of course” https://t.co/nonbj7rQDA",17sbaucum,102,NONE,8,5088,2022-09-24T16:05:13.064520Z,2022-09-24T16:05:13.064575Z,2.881
933497026498752512,Wtf https://t.co/R8hubRMjml,17sbaucum,101,NONE,8,5087,2022-09-24T16:05:08.946693Z,2022-09-24T16:05:08.946752Z,3.608
920085455030366208,His wife hotter than you and doesn't get gang banged on camera don't ever @ him again nasty bitch https://t.co/RwkanKX1i7,OMGItsBirdman,100,NONE,8,5086,2022-09-24T16:05:04.179510Z,2022-09-24T16:05:04.179566Z,9.796
946600551604805633,@xunrational @Parasite No way bruh What these kids @'s,17sbaucum,99,NONE,8,5085,2022-09-24T16:04:53.469234Z,2022-09-24T16:04:53.469258Z,4.923
914797747009724416,never forget who used to flex on you,_ColeBennett_,98,NONE,8,5084,2022-09-24T16:04:47.666252Z,2022-09-24T16:04:47.666274Z,2.712
932310235490017280,@DeadlyCreatorYT You making a yt video. That's rare nowadays,17sbaucum,97,NONE,8,5083,2022-09-24T16:04:43.865784Z,2022-09-24T16:04:43.865816Z,2.961
942115492583657478,@Tonynumber04 @CypherTheGod @ginjapaige Unbelivable this horny indian just wont let it go,17sbaucum,96,NONE,8,5082,2022-09-24T16:04:39.945826Z,2022-09-24T16:04:39.945883Z,6.538
912019905473662976,@Charmvnder Its Beat Penn state or die at this Point,17sbaucum,95,NONE,8,5081,2022-09-24T16:04:32.494479Z,2022-09-24T16:04:32.494537Z,7.901
911395869223788544,RT @wojespn: Story filed to ESPN: Carmelo Anthony has expanded the list of teams with which he'd accept a trade -- including the Cleveland Cavaliers.,17sbaucum,94,NONE,8,5080,2022-09-24T16:04:23.687477Z,2022-09-24T16:04:23.687501Z,4.718
962844013505196032,"RT @cavs: Well, that was fun.  #CAVS WIN!  #AllForOne https://t.co/T48wwj3xpd",17sbaucum,93,NONE,8,5079,2022-09-24T16:04:17.740932Z,2022-09-24T16:04:17.740954Z,2.887
955545357466947584,"Milwaukee has fired coach Jason Kidd, league sources tell ESPN.",wojespn,92,NONE,8,5078,2022-09-24T16:04:13.770986Z,2022-09-24T16:04:13.771010Z,4.888
919641672761401345,RT @packers: QB Aaron Rodgers suffered a broken collarbone. There's a chance he could miss the rest of the season.,17sbaucum,91,NONE,8,5077,2022-09-24T16:04:07.884750Z,2022-09-24T16:04:07.884773Z,5.691
949804684558176258,Remember the titans,17sbaucum,90,NONE,8,5076,2022-09-24T16:04:01.388293Z,2022-09-24T16:04:01.388316Z,2.988
929662583015124992,A dinosaur-era shark with insane teeth was found swimming off the coast of Portugal https://t.co/o8IEF0F1c3 https://t.co/3D007W9iPQ,Newsweek,89,NONE,8,5075,2022-09-24T16:03:57.282444Z,2022-09-24T16:03:57.282468Z,2.812
907396570726805505,"Somehow Saints lost complete track of Diggs, the Vikings WR1.  https://t.co/2G9LCOKxTX",ChrisLongKSTP,88,NONE,8,5074,2022-09-24T16:03:53.521534Z,2022-09-24T16:03:53.521590Z,3.59
922272893496635392,WIGGINS OMG,17sbaucum,87,NONE,8,5073,2022-09-24T16:03:49.006033Z,2022-09-24T16:03:49.006056Z,3.418
938776362013224965,RT to send your favorite #Vikings to the Pro Bowl  #ProBowlVote @EversonGriffen @HarriSmith22  @athielen19… https://t.co/GCDEETZSN3,Vikings,86,NONE,8,5072,2022-09-24T16:03:44.703946Z,2022-09-24T16:03:44.703969Z,3.503
945303213284225025,@bycycle @WORLDSTARVlNE Couldn't even tell that was kyrie untill I saw the earth on the Frisbee,17sbaucum,85,NONE,8,5071,2022-09-24T16:03:40.330123Z,2022-09-24T16:03:40.330146Z,5.4
917954415495143424,@SethGIory Whats the point of making you grind ghost wagers lol,17sbaucum,84,NONE,8,5070,2022-09-24T16:03:33.973209Z,2022-09-24T16:03:33.973232Z,4.682
937437490536964096,RT @Vikings: We earned that one. #Skol https://t.co/gqmtBUQstf,17sbaucum,83,NONE,8,5069,2022-09-24T16:03:28.306790Z,2022-09-24T16:03:28.306813Z,2.906
973394728841613312,Sighhhhhh 24 year cod pros going after 18 year old girls these days. These horny gamers never suprise me,17sbaucum,82,NONE,8,5068,2022-09-24T16:03:24.402446Z,2022-09-24T16:03:24.402468Z,3.292
930284557995249664,RT @Newsweek: A dinosaur-era shark with insane teeth was found swimming off the coast of Portugal https://t.co/o8IEF0F1c3 https://t.co/3D007W9iPQ,17sbaucum,81,NONE,8,5067,2022-09-24T16:03:20.232181Z,2022-09-24T16:03:20.232204Z,4.457
917455256321249283,"3. Ninni Laaksonen, former Miss Finland. “Trump stood right next to me and suddenly he squeezed my butt” in July 2006.",JuddLegum,80,NONE,8,5066,2022-09-24T16:03:14.779219Z,2022-09-24T16:03:14.779242Z,3.897
920056906344890370,"Sup, @StephenCurry30? https://t.co/A2Qlx0cNe4",miakhalifa,79,NONE,8,5065,2022-09-24T16:03:09.926482Z,2022-09-24T16:03:09.926505Z,3.271
940498080578891776,RT @Tonynumber04: Charm does it fucking all  https://t.co/AESPQS3Id9 https://t.co/j75VPSuPBd,17sbaucum,78,NONE,8,5064,2022-09-24T16:03:05.732833Z,2022-09-24T16:03:05.732857Z,5.6
924714113976152064,"RT @Vikings: “As long as we keep working together, we’ve got a chance to shock the world.” - Griffen  #Skol",17sbaucum,77,NONE,8,5063,2022-09-24T16:02:59.269718Z,2022-09-24T16:02:59.269750Z,6.521
960305320588382208,Wow,17sbaucum,76,NONE,8,5062,2022-09-24T16:02:51.606529Z,2022-09-24T16:02:51.606553Z,2.872
974384993614131201,RT @OhioStateHoops: KBD the dance! Buckeyes ahead 3 at the under 8   https://t.co/amgjMs553t,17sbaucum,75,NONE,8,5061,2022-09-24T16:02:47.674985Z,2022-09-24T16:02:47.675008Z,5.08
965478321323696128,"RT @realDonaldTrump: Just watched a very insecure Oprah Winfrey, who at one point I knew very well, interview a panel of people on 60 Minut…",17sbaucum,74,NONE,8,5060,2022-09-24T16:02:41.485138Z,2022-09-24T16:02:41.485207Z,4.704
